[Header]
GSGX Version	1.9.0
Report Date	7/2/2014 1:28:38 PM
Project	LUNG
Group Set	LUNG
Analysis	LUNG_nonorm_nobkgd
Normalization	none
[Control Probe Profile]
TargetID	ProbeID	6285431096_A.AVG_Signal	6285431096_A.NARRAYS	6285431096_A.ARRAY_STDEV	6285431096_A.BEAD_STDERR	6285431096_A.Avg_NBEADS	6285431096_A.Detection Pval	6285431098_A.AVG_Signal	6285431098_A.NARRAYS	6285431098_A.ARRAY_STDEV	6285431098_A.BEAD_STDERR	6285431098_A.Avg_NBEADS	6285431098_A.Detection Pval	6285431098_B.AVG_Signal	6285431098_B.NARRAYS	6285431098_B.ARRAY_STDEV	6285431098_B.BEAD_STDERR	6285431098_B.Avg_NBEADS	6285431098_B.Detection Pval	6285431096_B.AVG_Signal	6285431096_B.NARRAYS	6285431096_B.ARRAY_STDEV	6285431096_B.BEAD_STDERR	6285431096_B.Avg_NBEADS	6285431096_B.Detection Pval	6285431098_C.AVG_Signal	6285431098_C.NARRAYS	6285431098_C.ARRAY_STDEV	6285431098_C.BEAD_STDERR	6285431098_C.Avg_NBEADS	6285431098_C.Detection Pval	6285431098_D.AVG_Signal	6285431098_D.NARRAYS	6285431098_D.ARRAY_STDEV	6285431098_D.BEAD_STDERR	6285431098_D.Avg_NBEADS	6285431098_D.Detection Pval	6285431096_C.AVG_Signal	6285431096_C.NARRAYS	6285431096_C.ARRAY_STDEV	6285431096_C.BEAD_STDERR	6285431096_C.Avg_NBEADS	6285431096_C.Detection Pval	6285431096_D.AVG_Signal	6285431096_D.NARRAYS	6285431096_D.ARRAY_STDEV	6285431096_D.BEAD_STDERR	6285431096_D.Avg_NBEADS	6285431096_D.Detection Pval	6285431096_E.AVG_Signal	6285431096_E.NARRAYS	6285431096_E.ARRAY_STDEV	6285431096_E.BEAD_STDERR	6285431096_E.Avg_NBEADS	6285431096_E.Detection Pval	6285431096_F.AVG_Signal	6285431096_F.NARRAYS	6285431096_F.ARRAY_STDEV	6285431096_F.BEAD_STDERR	6285431096_F.Avg_NBEADS	6285431096_F.Detection Pval	6285431098_E.AVG_Signal	6285431098_E.NARRAYS	6285431098_E.ARRAY_STDEV	6285431098_E.BEAD_STDERR	6285431098_E.Avg_NBEADS	6285431098_E.Detection Pval	6285431098_F.AVG_Signal	6285431098_F.NARRAYS	6285431098_F.ARRAY_STDEV	6285431098_F.BEAD_STDERR	6285431098_F.Avg_NBEADS	6285431098_F.Detection Pval	
BIOTIN	2900458	12387.1	1	NaN	1124.935	36	0.00000	15634.6	1	NaN	599.678	48	0.00000	15742.1	1	NaN	681.704	46	0.00000	10024.0	1	NaN	805.828	45	0.00000	13417.3	1	NaN	798.019	38	0.00000	14199.6	1	NaN	942.615	40	0.00000	9667.1	1	NaN	785.983	46	0.00000	9656.0	1	NaN	931.947	41	0.00000	9702.0	1	NaN	939.371	34	0.00000	9378.7	1	NaN	983.040	43	0.00000	12159.3	1	NaN	701.973	36	0.00000	13500.3	1	NaN	683.535	34	0.00000	
BIOTIN	7200743	9735.2	1	NaN	592.484	116	0.00000	18837.7	1	NaN	763.719	118	0.00000	19093.0	1	NaN	790.494	122	0.00000	8955.6	1	NaN	470.893	127	0.00000	17670.7	1	NaN	714.807	126	0.00000	18731.7	1	NaN	782.574	110	0.00000	8453.1	1	NaN	440.424	113	0.00000	8916.5	1	NaN	415.273	117	0.00000	9658.9	1	NaN	585.647	114	0.00000	10405.1	1	NaN	571.935	117	0.00000	16860.7	1	NaN	715.518	128	0.00000	17016.6	1	NaN	637.904	141	0.00000	
CY3_HYB	730475	408.2	1	NaN	18.139	123	0.00000	629.8	1	NaN	16.624	129	0.00000	622.1	1	NaN	15.437	136	0.00000	340.6	1	NaN	14.752	112	0.00000	588.3	1	NaN	13.876	143	0.00000	568.4	1	NaN	14.078	144	0.00000	313.4	1	NaN	10.105	124	0.00000	345.5	1	NaN	11.939	131	0.00000	312.5	1	NaN	10.250	142	0.00000	346.1	1	NaN	12.438	146	0.00000	494.4	1	NaN	13.605	143	0.00000	518.8	1	NaN	16.486	135	0.00000	
CY3_HYB	1400044	3660.8	1	NaN	163.826	89	0.00000	5242.8	1	NaN	168.718	72	0.00000	5094.8	1	NaN	133.644	84	0.00000	3122.2	1	NaN	137.751	95	0.00000	4749.9	1	NaN	159.009	84	0.00000	5166.3	1	NaN	158.033	94	0.00000	3212.5	1	NaN	113.471	93	0.00000	2971.6	1	NaN	121.781	82	0.00000	3237.5	1	NaN	126.725	102	0.00000	3279.2	1	NaN	121.018	80	0.00000	4353.5	1	NaN	165.052	68	0.00000	4699.0	1	NaN	140.442	87	0.00000	
CY3_HYB	2600040	2960.1	1	NaN	162.211	68	0.00000	4206.9	1	NaN	140.556	76	0.00000	3816.2	1	NaN	146.032	54	0.00000	2526.7	1	NaN	114.417	83	0.00000	3880.0	1	NaN	162.591	61	0.00000	4491.7	1	NaN	178.437	69	0.00000	2366.7	1	NaN	100.155	69	0.00000	2133.1	1	NaN	113.065	61	0.00000	2207.4	1	NaN	130.375	68	0.00000	2403.5	1	NaN	118.650	73	0.00000	3272.3	1	NaN	137.731	74	0.00000	3578.0	1	NaN	142.549	69	0.00000	
CY3_HYB	3800196	13740.6	1	NaN	864.531	91	0.00000	22465.7	1	NaN	930.864	121	0.00000	21280.6	1	NaN	914.396	109	0.00000	10601.8	1	NaN	581.507	98	0.00000	19281.8	1	NaN	707.706	122	0.00000	20982.6	1	NaN	918.175	112	0.00000	10001.8	1	NaN	578.422	89	0.00000	9594.1	1	NaN	496.163	102	0.00000	10444.6	1	NaN	588.142	105	0.00000	10250.8	1	NaN	510.279	114	0.00000	18060.7	1	NaN	863.736	109	0.00000	18546.6	1	NaN	762.256	103	0.00000	
CY3_HYB	5820544	328.6	1	NaN	26.194	37	0.00000	455.2	1	NaN	24.055	33	0.00000	380.3	1	NaN	22.161	50	0.00000	268.2	1	NaN	17.975	43	0.00000	363.5	1	NaN	18.996	36	0.00000	440.0	1	NaN	26.514	48	0.00000	267.7	1	NaN	18.713	48	0.00000	287.1	1	NaN	21.873	37	0.00000	236.4	1	NaN	23.371	29	0.00000	275.3	1	NaN	20.483	44	0.00000	380.3	1	NaN	26.879	43	0.00000	427.3	1	NaN	23.512	24	0.00000	
CY3_HYB	6450180	9793.9	1	NaN	535.643	90	0.00000	17729.3	1	NaN	751.693	110	0.00000	20535.7	1	NaN	722.583	142	0.00000	11097.4	1	NaN	524.340	138	0.00000	17798.3	1	NaN	639.534	139	0.00000	18263.2	1	NaN	727.591	128	0.00000	10044.0	1	NaN	568.226	99	0.00000	10624.7	1	NaN	561.438	106	0.00000	11618.2	1	NaN	680.582	108	0.00000	9560.2	1	NaN	471.692	106	0.00000	17965.1	1	NaN	811.308	109	0.00000	17140.4	1	NaN	750.591	113	0.00000	
HOUSEKEEPING	10220	142.0	1	NaN	4.166	117	0.18590	124.5	1	NaN	2.641	90	0.31517	113.2	1	NaN	2.212	95	0.81517	123.5	1	NaN	3.796	110	0.59188	112.3	1	NaN	2.624	107	0.48932	124.4	1	NaN	2.765	116	0.25748	122.9	1	NaN	3.085	118	0.43162	116.7	1	NaN	3.267	114	0.63034	121.0	1	NaN	3.109	111	0.37073	117.3	1	NaN	2.887	118	0.55128	112.3	1	NaN	2.595	109	0.22543	109.7	1	NaN	2.177	101	0.33333	
HOUSEKEEPING	520379	9758.3	1	NaN	266.876	127	0.00000	14171.6	1	NaN	223.073	135	0.00000	15292.4	1	NaN	241.811	114	0.00000	6427.9	1	NaN	178.712	135	0.00000	8443.0	1	NaN	176.203	110	0.00000	17418.3	1	NaN	309.886	132	0.00000	3637.8	1	NaN	88.030	114	0.00000	3603.4	1	NaN	82.803	135	0.00000	2332.5	1	NaN	61.837	141	0.00000	4501.3	1	NaN	115.163	150	0.00000	14683.6	1	NaN	382.079	110	0.00000	14334.4	1	NaN	260.734	131	0.00000	
