Genotype	Exp_Cont	CSE	Donor
PRO	EXP	1	1
PRO	EXP	1	26
PRO	EXP	1	3
PRO	EXP	1	5
PRO	EXP	1	6
PRO	EXP	1	3
PRO	EXP	1	8
PRO	EXP	1	19
ARG	EXP	4	17
ARG	EXP	4	20
ARG	EXP	4	20
ARG	EXP	4	15
ARG	EXP	4	16
ARG	EXP	4	9
ARG	EXP	4	10
ARG	EXP	4	2
ARG	EXP	4	11
ARG	EXP	4	13
ARG	EXP	4	14
PRO	CONT	1	1
PRO	CONT	1	26
PRO	CONT	1	3
PRO	CONT	1	5
PRO	CONT	1	6
PRO	CONT	1	3
PRO	CONT	1	8
PRO	CONT	1	18
PRO	CONT	1	19
ARG	CONT	4	17
ARG	CONT	4	2
ARG	CONT	4	15
ARG	CONT	4	16
ARG	CONT	4	9
ARG	CONT	4	10
ARG	CONT	4	2
ARG	CONT	4	11
ARG	CONT	4	13
ARG	CONT	4	14
ARG	EXP	1	2
ARG	EXP	1	14
ARG	EXP	1	25
ARG	EXP	1	12
ARG	EXP	1	15
ARG	EXP	1	16
ARG	EXP	1	11
ARG	EXP	1	17
PRO	EXP	4	22
PRO	EXP	4	7
PRO	EXP	4	23
PRO	EXP	4	4
PRO	EXP	4	7
PRO	EXP	4	8
PRO	EXP	4	1
PRO	CONT	1	22
PRO	CONT	1	7
PRO	CONT	1	23
PRO	CONT	1	4
PRO	CONT	1	7
PRO	CONT	1	8
PRO	CONT	1	1
ARG	CONT	1	14
ARG	CONT	1	25
ARG	CONT	1	12
ARG	CONT	1	15
ARG	CONT	1	16
ARG	CONT	1	11
ARG	CONT	1	17
ARG	CONT	1	20
PRO	CONT	40	21
PRO	CONT	40	22
PRO	CONT	40	23
PRO	CONT	40	24
PRO	CONT	40	5
PRO	EXP	40	21
PRO	EXP	40	22
PRO	EXP	40	23
PRO	EXP	40	1
PRO	EXP	40	24
PRO	EXP	40	5
ARG	CONT	40	2
ARG	CONT	40	16
ARG	CONT	40	9
ARG	CONT	40	13
ARG	CONT	40	20
ARG	CONT	40	17
ARG	EXP	40	2
ARG	EXP	40	16
ARG	EXP	40	9
ARG	EXP	40	13
ARG	EXP	40	20
ARG	EXP	40	17
